id,plattform,verktyg,beskrivning,funktionsomrade,adopt,trial,assess,hold,createdAt,updatedAt
186,"Säkerhet & Sårbarhet",DetAct,"Fraud är ett samlingsnamn över de tjänster som bidrar till bedrägeriövervakningen. FraudDetection-Systemet används för - Övervakning av Skandias digitala kanaler med avseende på hot som overlay, trojaner, och maskinell styrning - Övervakning av kundens beteende i de digitala kanalerna - Övervakning av avgående transaktioner (olika typer av överföringar och betalningar) Systemet övervakar trafiken mellan Skandias kunder och våra digitala tjänster (t.ex. Internetbanken). Även trafik mellan Skandia och BankIDs tjänster övervakas för att få med information från BankID vid inloggning och signering.","Inloggning & Säkerhet",Yes,No,No,No,"2024-10-14 18:51:02","2024-10-14 18:51:02"
187,"Säkerhet & Sårbarhet",Detectify,"Dynamic Application Security Testing (DAST) tool. Kontrollerar versioner på programvaror","IT övrigt",Yes,No,No,No,"2024-10-14 18:51:02","2024-10-14 18:51:02"
188,"Säkerhet & Sårbarhet","e-postsäkerhetsmekanismer","Denna SaaS-tjänst används för: - visualisering och larmsättning av DMARC Aggregate-rapporter - visualisering och larmsättning av TLS-RPT - publicering av MTA-STS-policy Leverantör: Uriports","IT övrigt",Yes,No,No,No,"2024-10-14 18:51:02","2024-10-14 18:51:02"
189,"Säkerhet & Sårbarhet","Microsoft Defender","Alla servrar i skandias miljöer skannas regelbundet efter sårbarheter i operativsystem och applikationer. För servrar med operativsystem Windows så använder vi MDE som verktyg för sårbarhetsskanning.","Digital Arbetsplats",Yes,No,No,No,"2024-10-14 18:51:02","2024-10-14 18:51:02"
190,"Säkerhet & Sårbarhet",Mnemonic,"Mnemonic är företagsnamnet. Använder Argus säkerhetslösning","IT-säk",Yes,No,No,No,"2024-10-14 18:51:02","2024-10-14 18:51:02"
191,"Säkerhet & Sårbarhet",NetClean,"Agentbaseratfilter för upptäckande av Barnpornografi","Digital Arbetsplats",Yes,No,No,No,"2024-10-14 18:51:02","2024-10-14 18:51:02"
192,"Säkerhet & Sårbarhet",Sk-Sauron,"Skanning av källkod","IT övrigt",Yes,No,No,No,"2024-10-14 18:51:02","2024-10-14 18:51:02"
193,"Säkerhet & Sårbarhet",Sonarcloud,"Verktyg för scanning av källkod för att upprätthålla god kodkvalité vid systemutveckling. Tillhandahålls som SaaS-tjänst av SonarSource.","Test & Utvecklingsstöd",Yes,No,No,No,"2024-10-14 18:51:02","2024-10-14 18:51:02"
194,"Säkerhet & Sårbarhet",SonarQube,"SAST skanning och kodkvalite","Test & Utvecklingsstöd",Yes,No,No,No,"2024-10-14 18:51:02","2024-10-14 18:51:02"
195,"Säkerhet & Sårbarhet",TeamSecurityScore,"Gränssnitt för att få en säkerhetsklassning för SAFe teamens applikationer.","IT-säk",Yes,No,No,No,"2024-10-14 18:51:02","2024-10-14 18:51:02"
196,"Säkerhet & Sårbarhet","Entra ID Conditional Access","Säkerhetsförmåga som kontrollerar all inloggning mot Entra ID resurser. Detta är en primära skyddsförmågan som används för Entra ID","Digital Arbetsplats",Yes,No,No,No,"2024-10-14 18:51:02","2024-10-14 18:51:02"
197,"Säkerhet & Sårbarhet",Nexpose,"automatiserade säkerhetstester av IT-infrastruktur","Digital Arbetsplats",Yes,No,No,No,"2024-10-14 18:51:02","2024-10-14 18:51:02"
198,"Säkerhet & Sårbarhet","Skandia Desktop Analytics","Oklart om vi ska ha kvar denna","Digital Arbetsplats",Yes,No,No,No,"2024-10-14 18:51:02","2024-10-14 18:51:02"
199,"Processtöd",ServiceNow,ITSM-system,"Processtöd",Yes,No,No,No,"2024-10-14 19:25:04","2024-10-14 19:25:04"
200,"Processtöd",CMDB,CMDB,"Processtöd",Yes,No,No,No,"2024-10-14 19:25:04","2024-10-14 19:25:04"
201,"Digital Arbetsplats",Quest,"Recover Manager for AD","Digital arbetsplats",No,Yes,No,No,"2024-10-14 19:29:39","2024-10-14 19:29:39"
202,"Nyckel, & Certifikat","Azure DevOps Vault","Valv  för hantering av nycklar","Utvecklingsstöd",No,No,Yes,No,"2024-10-14 19:57:22","2024-10-14 19:57:22"
203,"Nyckel, & Certifikat","Cyberark Vault","Valv i Cyberark",IAM,Yes,No,No,No,"2024-10-14 19:59:29","2024-10-14 19:59:29"
